"id","bias.correction","Without UDSA (Multiple Dilutions)","With UDSA (Single Dilution)","With UDSA (Multiple Dilutions)"
"C1","MLE","$0.05$ $(0.02, 0.12)$","$0.14$ $(0.08, 0.24)$","$0.13$ $(0.07, 0.23)$"
"C1","BC-MLE","$0.04$ $(0.02, 0.12)$","$0.13$ $(0.08, 0.24)$","$0.13$ $(0.07, 0.23)$"
"C2","MLE","$0.07$ $(0.03, 0.15)$","$0.17$ $(0.10, 0.29)$","$0.18$ $(0.11, 0.29)$"
"C2","BC-MLE","$0.07$ $(0.03, 0.15)$","$0.17$ $(0.10, 0.29)$","$0.18$ $(0.11, 0.29)$"
"C3","MLE","$0.12$ $(0.05, 0.29)$","$0.12$ $(0.05, 0.28)$","$0.11$ $(0.04, 0.26)$"
"C3","BC-MLE","$0.12$ $(0.05, 0.29)$","$0.11$ $(0.05, 0.28)$","$0.10$ $(0.04, 0.26)$"
"C4","MLE","$0.14$ $(0.06, 0.32)$","$0.12$ $(0.05, 0.29)$","$0.14$ $(0.06, 0.30)$"
"C4","BC-MLE","$0.14$ $(0.06, 0.32)$","$0.11$ $(0.04, 0.29)$","$0.13$ $(0.05, 0.30)$"
"C5","MLE","$0.15$ $(0.06, 0.36)$","$0.20$ $(0.09, 0.44)$","$0.20$ $(0.10, 0.43)$"
"C5","BC-MLE","$0.14$ $(0.06, 0.36)$","$0.18$ $(0.08, 0.44)$","$0.19$ $(0.08, 0.43)$"
"C6","MLE","$0.18$ $(0.08, 0.38)$","$0.34$ $(0.20, 0.60)$","$0.31$ $(0.18, 0.54)$"
"C6","BC-MLE","$0.17$ $(0.08, 0.37)$","$0.33$ $(0.19, 0.59)$","$0.30$ $(0.17, 0.53)$"
"C7","MLE","$0.22$ $(0.13, 0.36)$","$0.64$ $(0.49, 0.83)$","$0.63$ $(0.48, 0.81)$"
"C7","BC-MLE","$0.22$ $(0.13, 0.36)$","$0.63$ $(0.48, 0.82)$","$0.62$ $(0.48, 0.81)$"
"C8","MLE","$0.41$ $(0.27, 0.62)$","$1.06$ $(0.86, 1.31)$","$1.06$ $(0.86, 1.30)$"
"C8","BC-MLE","$0.40$ $(0.26, 0.61)$","$1.04$ $(0.84, 1.29)$","$1.04$ $(0.84, 1.29)$"
"C9","MLE","$0.44$ $(0.22, 0.87)$","$0.60$ $(0.35, 1.03)$","$0.51$ $(0.30, 0.88)$"
"C9","BC-MLE","$0.42$ $(0.20, 0.86)$","$0.56$ $(0.31, 1.00)$","$0.48$ $(0.28, 0.85)$"
"C10","MLE","$0.54$ $(0.32, 0.91)$","$0.73$ $(0.48, 1.12)$","$0.79$ $(0.53, 1.17)$"
"C10","BC-MLE","$0.52$ $(0.30, 0.89)$","$0.69$ $(0.44, 1.09)$","$0.75$ $(0.50, 1.14)$"
"C11","MLE","$0.62$ $(0.34, 1.14)$","$0.89$ $(0.55, 1.43)$","$0.88$ $(0.57, 1.38)$"
"C11","BC-MLE","$0.58$ $(0.30, 1.11)$","$0.82$ $(0.49, 1.37)$","$0.83$ $(0.51, 1.33)$"
"C12","MLE","$0.94$ $(0.63, 1.39)$","$1.42$ $(1.19, 1.69)$","$1.42$ $(1.19, 1.69)$"
"C12","BC-MLE","$0.90$ $(0.59, 1.36)$","$1.40$ $(1.17, 1.67)$","$1.40$ $(1.17, 1.67)$"
"C13","MLE","$1.24$ $(0.74, 2.08)$","$2.55$ $(1.22, 5.36)$","$1.41$ $(0.79, 2.49)$"
"C13","BC-MLE","$1.12$ $(0.63, 1.99)$","$2.32$ $(1.03, 5.25)$","$1.19$ $(0.61, 2.34)$"
"C14","MLE","$1.82$ $(0.90, 3.66)$","$2.12$ $(0.86, 5.18)$","$2.20$ $(1.12, 4.34)$"
"C14","BC-MLE","$1.54$ $(0.67, 3.52)$","$1.88$ $(0.69, 5.15)$","$1.73$ $(0.73, 4.11)$"
"C15","MLE","$2.49$ $(1.10, 5.62)$","$3.66$ $(1.88, 7.10)$","$2.95$ $(1.57, 5.57)$"
"C15","BC-MLE","$2.08$ $(0.79, 5.52)$","$3.27$ $(1.56, 6.87)$","$2.62$ $(1.28, 5.36)$"
"C16","MLE","$2.52$ $(1.16, 5.46)$","$2.92$ $(1.46, 5.84)$","$2.97$ $(1.62, 5.44)$"
"C16","BC-MLE","$2.18$ $(0.89, 5.33)$","$2.65$ $(1.24, 5.69)$","$2.70$ $(1.39, 5.26)$"
"C17","MLE","$3.49$ $(1.69, 7.20)$","$2.19$ $(0.98, 4.88)$","$3.03$ $(1.66, 5.55)$"
"C17","BC-MLE","$3.08$ $(1.36, 7.00)$","$1.99$ $(0.82, 4.80)$","$2.74$ $(1.40, 5.35)$"
